21700000;Bundesbank eh Husum;09
21730040;Bayer HypoVereinsbank ex Vereins und Westbank;68
21730042;Bayer HypoVereinsbank ex Vereins und Westbank;68
21730043;Bayer HypoVereinsbank ex Vereins und Westbank;68
21730044;Bayer HypoVereinsbank ex Vereins und Westbank;68
21730045;Bayer HypoVereinsbank ex Vereins und Westbank;68
21730046;Bayer HypoVereinsbank ex Vereins und Westbank;68
21740043;Commerzbank;13
21741674;Commerzbank;13
21741825;Commerzbank;13
21750000;Nord-Ostsee Sparkasse;A2
21751230;Spar- und Leihkasse zu Bredstedt;00
21762550;Volksbank-Raiffeisenbank;32
21763542;VR Bank;32
21770011;Deutsche Bank;63
21770024;Deutsche Bank Privat und Geschäftskunden;63
21791805;Sylter Bank;33
21791906;Föhr-Amrumer Bank;32
21830030;Bayer HypoVereinsbank ex Vereins und Westbank;68
21830032;Bayer HypoVereinsbank ex Vereins und Westbank;68
21830033;Bayer HypoVereinsbank ex Vereins und Westbank;68
21830034;Bayer HypoVereinsbank ex Vereins und Westbank;68
21830035;Bayer HypoVereinsbank ex Vereins und Westbank;68
21830036;Bayer HypoVereinsbank ex Vereins und Westbank;68
21840078;Commerzbank;13
21841328;Commerzbank;13
21851720;Alte Marner Sparkasse -alt-;04
21851830;Verbandssparkasse Meldorf;04
21852310;Sparkasse Hennstedt-Wesselburen;04
21860418;Raiffeisenbank Heide;32
21890022;Dithmarscher Volks- und Raiffeisenbank;32
22130075;Bayer HypoVereinsbank ex Vereins und Westbank;68
22140028;Commerzbank;13
22141028;Commerzbank;13
22141428;Commerzbank;13
22141628;Commerzbank;13
22150000;Sparkasse Elmshorn;04
22151410;Kreissparkasse Pinneberg -alt-;00
22151730;Stadtsparkasse Wedel;02
22162113;Volks- u Raiffeisenbank Halstenbek-Schenefeld;33
22163114;Raiffeisenbank Elbmarsch;33
22180000;Dresdner Bank;76
22181400;Dresdner Bank;76
22190030;Volksbank Elmshorn;48
22191405;VR Bank Pinneberg;48
22200000;Bundesbank eh Itzehoe;09
22230020;Bayer HypoVereinsbank ex Vereins und Westbank;68
22230022;Bayer HypoVereinsbank ex Vereins und Westbank;68
22230023;Bayer HypoVereinsbank ex Vereins und Westbank;68
22230024;Bayer HypoVereinsbank ex Vereins und Westbank;68
22230025;Bayer HypoVereinsbank ex Vereins und Westbank;68
22240073;Commerzbank;13
22250020;Sparkasse Westholstein;04
22251580;Landsparkasse Schenefeld;04
22252050;Verbandssparkasse Wilster -alt-;04
22260136;Raiffeisenbank;33
22280000;Dresdner Bank;76
22290031;Volksbank;10
23000000;Bundesbank;09
23010111;SEB;13
23030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
23040022;Commerzbank;13
23050000;HSH Nordbank Lübeck;09
23050101;Sparkasse zu Lübeck;00
23051030;Sparkasse Südholstein;A2
23051610;Sparkasse Stormarn -alt-;A7
23052065;Möllner Sparkasse;00
23052750;Kreissparkasse Herzogtum Lauenburg;04
23061220;Raiffeisenbank Leezen;32
23062124;Raiffeisenbank;33
23062807;Volks- und Raiffeisenbank Mölln;33
23063129;Raiffeisenbank;33
23064107;Raiffeisenbank Büchen;32
23070700;Deutsche Bank Privat und Geschäftskunden;63
23070710;Deutsche Bank;63
23080040;Dresdner Bank;76
23089201;Dresdner Bank ITGK;09
23090142;Volksbank Lübeck - Landbank von 1902;10
23091212;Kreditbank Segeberg;09
23092502;Volksbank Lauenburg;10
23092620;Deutsche Apotheker- und Ärztebank;14
23092706;Volksbank Ratzeburg -alt-;33
24000000;Bundesbank eh Lüneburg;09
24030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
24040000;Commerzbank;13
24050110;Sparkasse Lüneburg;00
24060300;Volksbank Nordheide;28
24061392;Volksbank Bleckede-Dahlenburg -alt-;28
